timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T06:22:11.881696,Duane Hoover,Nowhere (Single),,SomaFM,180
2026-02-26T06:54:00.362537,Duane Hoover,Nowhere (Single),,SomaFM,180
2026-02-26T06:56:48.633280,,,,manual,180
2026-02-26T07:52:55.317617,Beirut,Arctic Forest,,SomaFM Indie Pop,180
2026-02-26T07:55:21.545785,Dari Bay,Shy Of A Nurse,,SomaFM Indie Pop,180
2026-02-26T07:57:59.073437,Minus The Bear,The Lucky Ones,,SomaFM Indie Pop,180
2026-02-26T08:02:51.541306,Business Of Dreams,Ripe For Anarchy,,SomaFM Indie Pop,180
2026-02-26T08:05:51.547457,I Am Oak,Embers,,SomaFM Indie Pop,180
2026-02-26T08:09:36.552979,Wies,Venus (Ft. Noor),,SomaFM Indie Pop,180
2026-02-26T08:12:14.067042,Patrick Watson,Peter And The Wolf,,SomaFM Indie Pop,180
2026-02-26T08:15:47.811388,Eric Bachmann,Belong To You,,SomaFM Indie Pop,180
2026-02-26T08:20:06.546189,+/,(Plus/Minus) - Ill Advised,,SomaFM Indie Pop,180
2026-02-26T08:22:32.798642,Saintseneca,Lazarus,,SomaFM Indie Pop,180
2026-02-26T08:26:51.540731,Nada Surf,Ice On The Wing,,SomaFM Indie Pop,180
2026-02-26T08:30:36.544743,Happy Landing,Machines,,SomaFM Indie Pop,180
2026-02-26T08:33:47.817313,Wet Leg,Cpr (Radio Mix),,SomaFM Indie Pop,180
2026-02-26T08:36:25.301252,Julia Logan,Moodswings,,SomaFM Indie Pop,180
2026-02-26T08:40:44.067584,Dr. Dog,Fire On My Back,,SomaFM Indie Pop,180
2026-02-26T08:43:21.541968,Hot Hot Heat,Kid Who Stays In The Picture,,SomaFM Indie Pop,180
2026-02-26T08:46:21.540692,Neko Case,Neon Grey Midnight Green,,SomaFM Indie Pop,180
2026-02-26T08:50:40.302980,Blondshell,Model Rockets,,SomaFM Indie Pop,180
2026-02-26T08:54:59.066318,Hide And Shine,Where Was I Then,,SomaFM Indie Pop,180
2026-02-26T08:58:32.805770,Alvvays,In Undertow,,SomaFM Indie Pop,180
2026-02-26T09:01:44.058226,Conor Oberst,Governor's Ball,,SomaFM Indie Pop,180
2026-02-26T09:06:02.825255,Grizzly Bear,Speak In Rounds,,SomaFM Indie Pop,180
2026-02-26T09:10:21.555432,Emily Wells,You Dream Of China (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T09:31:43.256859,Ra Ra Riot,Flowers,,SomaFM Indie Pop,180
2026-02-26T09:32:39.468612,Clouds Are Ghosts,Decimeters,,SomaFM Indie Pop,180
2026-02-26T09:37:09.479097,Flyte,Emily And Me,,SomaFM Indie Pop,180
2026-02-26T09:41:16.986564,Temples,Prisms,,SomaFM Indie Pop,180
2026-02-26T09:44:05.743961,Sea Lemon,Stay,,SomaFM Indie Pop,180
2026-02-26T09:47:05.736616,Jay Som,1 Billion Dogs,,SomaFM Indie Pop,180
2026-02-26T09:49:43.232098,Panama Wedding,Feels Like Summer,,SomaFM Indie Pop,180
2026-02-26T09:53:50.725365,Arcade Fire,Deep Blue,,SomaFM Indie Pop,180
2026-02-26T09:57:46.982535,Explosions In The Sky,Human Qualities,,SomaFM Indie Pop,180
2026-02-26T10:15:04.710135,Throwing Muses,Drugstore Drastic,,SomaFM Indie Pop,180
2026-02-26T10:17:19.695041,Teen Daze,Ice On The Windowsill,,SomaFM Indie Pop,180
2026-02-26T10:21:27.209986,"Horrors, The",In And Out Of Sight,,SomaFM Indie Pop,180
2026-02-26T10:26:19.692876,Hatchie,Lose It Again,,SomaFM Indie Pop,180
2026-02-26T10:29:53.437952,Iron & Wine,Bag Of Cats,,SomaFM Indie Pop,180
2026-02-26T10:33:04.688857,Memorials,Acceptable Experience (Radio E,,SomaFM Indie Pop,180
2026-02-26T10:35:42.177862,Pains Of Being Pure At Heart,Masokissed,,SomaFM Indie Pop,180
2026-02-26T10:38:53.438620,M. Ward,Sweetheart,,SomaFM Indie Pop,180
2026-02-26T10:41:00.557009,M. Ward,Sweetheart,,SomaFM Indie Pop,180
2026-02-26T10:42:08.028961,We Are Scientists,Make It Easy,,SomaFM Indie Pop,180
2026-02-26T10:46:15.870932,Fleet Foxes,Drops In The River,,SomaFM Indie Pop,180
2026-02-26T10:49:49.623021,Ellur,Dream Of Mine,,SomaFM Indie Pop,180
2026-02-26T10:53:57.091950,Juliana Hatfield,Where Are You Now,,SomaFM Indie Pop,180
2026-02-26T10:57:30.860320,Hand Habits,More Today,,SomaFM Indie Pop,180
2026-02-26T11:02:34.611072,Peach Pyramid,Mt. Pleasant,,SomaFM Indie Pop,180
2026-02-26T11:06:30.857754,Release The Sunbird,It's All Around You,,SomaFM Indie Pop,180
2026-02-26T11:08:34.620278,Bay Ledges,Beach Baby,,SomaFM Indie Pop,180
2026-02-26T11:11:12.112688,Valery Trails,People Who Are Gone,,SomaFM Indie Pop,180
2026-02-26T11:14:45.849350,Soccer Mommy,Some Sunny Day,,SomaFM Indie Pop,180
2026-02-26T11:18:30.852773,S. Carey,Hideout,,SomaFM Indie Pop,180
2026-02-26T11:21:19.615519,EL VY,It's A Game,,SomaFM Indie Pop,180
2026-02-26T11:25:27.091329,Teleman,Spectre,,SomaFM Indie Pop,180
2026-02-26T11:29:12.090363,Elliott Smith,Somebody That I Used To Know,,SomaFM Indie Pop,180
2026-02-26T11:31:15.852987,Phantastic Ferniture,Change My Mind,,SomaFM Indie Pop,180
